id,name,height,weight,types
1,bulbasaur,7,69,"['grass', 'poison']"
2,ivysaur,10,130,"['grass', 'poison']"
3,venusaur,20,1000,"['grass', 'poison']"
4,charmander,6,85,['fire']
5,charmeleon,11,190,['fire']
6,charizard,17,905,"['fire', 'flying']"
7,squirtle,5,90,['water']
8,wartortle,10,225,['water']
9,blastoise,16,855,['water']
10,caterpie,3,29,['bug']
11,metapod,7,99,['bug']
12,butterfree,11,320,"['bug', 'flying']"
13,weedle,3,32,"['bug', 'poison']"
14,kakuna,6,100,"['bug', 'poison']"
15,beedrill,10,295,"['bug', 'poison']"
16,pidgey,3,18,"['normal', 'flying']"
17,pidgeotto,11,300,"['normal', 'flying']"
18,pidgeot,15,395,"['normal', 'flying']"
19,rattata,3,35,['normal']
20,raticate,7,185,['normal']
21,spearow,3,20,"['normal', 'flying']"
22,fearow,12,380,"['normal', 'flying']"
23,ekans,20,69,['poison']
24,arbok,35,650,['poison']
25,pikachu,4,60,['electric']
26,raichu,8,300,['electric']
27,sandshrew,6,120,['ground']
28,sandslash,10,295,['ground']
29,nidoran-f,4,70,['poison']
30,nidorina,8,200,['poison']
31,nidoqueen,13,600,"['poison', 'ground']"
32,nidoran-m,5,90,['poison']
33,nidorino,9,195,['poison']
34,nidoking,14,620,"['poison', 'ground']"
35,clefairy,6,75,['fairy']
36,clefable,13,400,['fairy']
37,vulpix,6,99,['fire']
38,ninetales,11,199,['fire']
39,jigglypuff,5,55,"['normal', 'fairy']"
40,wigglytuff,10,120,"['normal', 'fairy']"
41,zubat,8,75,"['poison', 'flying']"
42,golbat,16,550,"['poison', 'flying']"
43,oddish,5,54,"['grass', 'poison']"
44,gloom,8,86,"['grass', 'poison']"
45,vileplume,12,186,"['grass', 'poison']"
46,paras,3,54,"['bug', 'grass']"
47,parasect,10,295,"['bug', 'grass']"
48,venonat,10,300,"['bug', 'poison']"
49,venomoth,15,125,"['bug', 'poison']"
50,diglett,2,8,['ground']
51,dugtrio,7,333,['ground']
52,meowth,4,42,['normal']
53,persian,10,320,['normal']
54,psyduck,8,196,['water']
55,golduck,17,766,['water']
56,mankey,5,280,['fighting']
57,primeape,10,320,['fighting']
58,growlithe,7,190,['fire']
59,arcanine,19,1550,['fire']
60,poliwag,6,124,['water']
61,poliwhirl,10,200,['water']
62,poliwrath,13,540,"['water', 'fighting']"
63,abra,9,195,['psychic']
64,kadabra,13,565,['psychic']
65,alakazam,15,480,['psychic']
66,machop,8,195,['fighting']
67,machoke,15,705,['fighting']
68,machamp,16,1300,['fighting']
69,bellsprout,7,40,"['grass', 'poison']"
70,weepinbell,10,64,"['grass', 'poison']"
71,victreebel,17,155,"['grass', 'poison']"
72,tentacool,9,455,"['water', 'poison']"
73,tentacruel,16,550,"['water', 'poison']"
74,geodude,4,200,"['rock', 'ground']"
75,graveler,10,1050,"['rock', 'ground']"
76,golem,14,3000,"['rock', 'ground']"
77,ponyta,10,300,['fire']
78,rapidash,17,950,['fire']
79,slowpoke,12,360,"['water', 'psychic']"
80,slowbro,16,785,"['water', 'psychic']"
81,magnemite,3,60,"['electric', 'steel']"
82,magneton,10,600,"['electric', 'steel']"
83,farfetchd,8,150,"['normal', 'flying']"
84,doduo,14,392,"['normal', 'flying']"
85,dodrio,18,852,"['normal', 'flying']"
86,seel,11,900,['water']
87,dewgong,17,1200,"['water', 'ice']"
88,grimer,9,300,['poison']
89,muk,12,300,['poison']
90,shellder,3,40,['water']
91,cloyster,15,1325,"['water', 'ice']"
92,gastly,13,1,"['ghost', 'poison']"
93,haunter,16,1,"['ghost', 'poison']"
94,gengar,15,405,"['ghost', 'poison']"
95,onix,88,2100,"['rock', 'ground']"
96,drowzee,10,324,['psychic']
97,hypno,16,756,['psychic']
98,krabby,4,65,['water']
99,kingler,13,600,['water']
100,voltorb,5,104,['electric']
101,electrode,12,666,['electric']
102,exeggcute,4,25,"['grass', 'psychic']"
103,exeggutor,20,1200,"['grass', 'psychic']"
104,cubone,4,65,['ground']
105,marowak,10,450,['ground']
106,hitmonlee,15,498,['fighting']
107,hitmonchan,14,502,['fighting']
108,lickitung,12,655,['normal']
109,koffing,6,10,['poison']
110,weezing,12,95,['poison']
111,rhyhorn,10,1150,"['ground', 'rock']"
112,rhydon,19,1200,"['ground', 'rock']"
113,chansey,11,346,['normal']
114,tangela,10,350,['grass']
115,kangaskhan,22,800,['normal']
116,horsea,4,80,['water']
117,seadra,12,250,['water']
118,goldeen,6,150,['water']
119,seaking,13,390,['water']
120,staryu,8,345,['water']
121,starmie,11,800,"['water', 'psychic']"
122,mr-mime,13,545,"['psychic', 'fairy']"
123,scyther,15,560,"['bug', 'flying']"
124,jynx,14,406,"['ice', 'psychic']"
125,electabuzz,11,300,['electric']
126,magmar,13,445,['fire']
127,pinsir,15,550,['bug']
128,tauros,14,884,['normal']
129,magikarp,9,100,['water']
130,gyarados,65,2350,"['water', 'flying']"
131,lapras,25,2200,"['water', 'ice']"
132,ditto,3,40,['normal']
133,eevee,3,65,['normal']
134,vaporeon,10,290,['water']
135,jolteon,8,245,['electric']
136,flareon,9,250,['fire']
137,porygon,8,365,['normal']
138,omanyte,4,75,"['rock', 'water']"
139,omastar,10,350,"['rock', 'water']"
140,kabuto,5,115,"['rock', 'water']"
141,kabutops,13,405,"['rock', 'water']"
142,aerodactyl,18,590,"['rock', 'flying']"
143,snorlax,21,4600,['normal']
144,articuno,17,554,"['ice', 'flying']"
145,zapdos,16,526,"['electric', 'flying']"
146,moltres,20,600,"['fire', 'flying']"
147,dratini,18,33,['dragon']
148,dragonair,40,165,['dragon']
149,dragonite,22,2100,"['dragon', 'flying']"
150,mewtwo,20,1220,['psychic']
151,mew,4,40,['psychic']
152,chikorita,9,64,['grass']
153,bayleef,12,158,['grass']
154,meganium,18,1005,['grass']
155,cyndaquil,5,79,['fire']
156,quilava,9,190,['fire']
157,typhlosion,17,795,['fire']
158,totodile,6,95,['water']
159,croconaw,11,250,['water']
160,feraligatr,23,888,['water']
161,sentret,8,60,['normal']
162,furret,18,325,['normal']
163,hoothoot,7,212,"['normal', 'flying']"
164,noctowl,16,408,"['normal', 'flying']"
165,ledyba,10,108,"['bug', 'flying']"
166,ledian,14,356,"['bug', 'flying']"
167,spinarak,5,85,"['bug', 'poison']"
168,ariados,11,335,"['bug', 'poison']"
169,crobat,18,750,"['poison', 'flying']"
170,chinchou,5,120,"['water', 'electric']"
